Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Day Type Index [](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),BLDG_OCC_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),BLDG_EQUIP_SCH:Schedule Value [](TimeStep),BLDG_SWH_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CORE_ZN  IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN  IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2  IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2  IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictHeating:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep) 
 01/01  01:00:00,2.6,70.0,2.8,180.0,0.0,0.0,1.0,-0.450835506093248,15.944406697036854,15.600042343021773,15.600000000000002,15.6,15.6,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,213800.34136332669,0.0,1177961.6161080143,0.0,1563523.7130947798,0.0,1385270.222484305,0.0,4340555.893050426,0.0 
 01/01  02:00:00,0.6,65.0,3.4,180.0,0.0,0.0,1.0,-1.228286359077177,15.777504568498419,15.600000093538691,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,1250598.9886837546,0.0,1692728.7705912225,0.0,2330747.0746935445,0.0,1872827.6397687339,0.0,7146902.473737256,0.0 
 01/01  03:00:00,-0.9,62.0,4.1,50.0,0.0,0.0,1.0,-2.011600206905062,15.643921946301536,15.600000000373154,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,2140170.5707279059,0.0,2105168.4557780355,0.0,2934848.2920105748,0.0,2265773.971680923,0.0,9445961.29019744,0.0 
 01/01  04:00:00,-1.8,60.0,3.9,50.0,0.0,0.0,1.0,-2.7695312679860835,15.60001962668046,15.600000000001863,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.04,26.7,15.6,459096.02292802828,0.0,2722947.1803857248,0.0,2357165.8005559456,0.0,3317574.964766269,0.0,2519713.683175109,0.0,11376497.651811077,0.0 
 01/01  05:00:00,-2.4,59.0,3.8,50.0,0.0,0.0,1.0,-3.4253104564021128,15.600000026134444,15.60000000000001,15.600000000000002,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.04,26.7,15.6,1082332.374989281,0.0,3135998.802937257,0.0,2536267.5509853486,0.0,3595208.555384745,0.0,2704214.6465431449,0.0,13054021.930839777,0.0 
 01/01  06:00:00,-3.0,58.0,3.6,50.0,0.0,0.0,1.0,-4.029963494266938,15.600000000052916,15.599999999999998,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.07,26.7,15.6,1627101.1923648902,0.0,3509931.088043175,0.0,2721108.831013214,0.0,3861045.186890995,0.0,2883495.588920743,0.0,14602681.887233019,0.0 
 01/01  07:00:00,-2.8,60.0,3.3,50.0,0.0,0.0,1.0,-4.254597561786728,15.599999999999998,15.600000000000002,15.6,15.6,15.6,0.0,0.05,0.3,0.04,26.7,15.6,1631606.0707688539,0.0,3519195.6430893328,0.0,2703938.4191999898,0.0,3816511.7782760506,0.0,2865427.0149444097,0.0,14536678.926278636,0.0 
 01/01  08:00:00,-3.1,61.0,2.9,50.0,0.0,0.0,1.0,-4.446191036056412,15.6,15.6,15.599999999999998,15.600000000000002,15.600000000000004,0.0,0.05,0.3,0.04,26.7,15.6,1921420.9225385474,0.0,3702794.2737555599,0.0,2797314.8604986418,0.0,3938912.261681008,0.0,2955437.920744708,0.0,15315880.239218465,0.0 
 01/01  09:00:00,-3.3,63.0,2.6,20.0,49.0,3.0,1.0,-3.736975058805198,15.599999999999998,15.6,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.05,0.3,0.04,26.7,15.6,2095689.442510537,0.0,3524693.468836403,0.0,2664656.664362437,0.0,3865609.7044376914,0.0,2910132.1932864657,0.0,15060781.473433534,0.0 
 01/01  10:00:00,-1.3,49.0,2.8,20.0,138.0,131.0,1.0,-0.6237767637495909,15.600000000000002,15.600000000000002,15.600000000000002,15.600000000000002,15.600000000000002,0.0,0.05,0.3,0.04,26.7,15.6,864272.7710326675,0.0,742000.5695261394,0.0,1218880.6304320608,0.0,2846621.1015336487,0.0,2218679.2399417187,0.0,7890454.312466234,0.0 
