Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) ,Month,Day,DistrictHeatingWater:Facility [J](TimeStep),DistrictCooling:Facility [W](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),ASHP_cooling_COP,ASHP_heating_COP,ASHP_cooling_exergy_efficiency,ASHP_heating_exergy_efficiency,Cooling_demand_W_m2,Heating_demand_W_m2,Cooling_exergy_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_cooling_exergy_efficiency_zero_filled,ASHP_heating_exergy_efficiency_zero_filled
 01/01  01:00:00,01/01 01:00:00,2.6,15.600006691027382,-0.8214069847958335,15.834473792092131,15.599999999999998,15.6,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  02:00:00,01/01 02:00:00,0.6,15.600000007452907,-1.7295341482235886,15.708695435400898,15.599999999999998,15.6,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  03:00:00,01/01 03:00:00,-0.9,15.60000000002062,-2.641465283680499,15.60001154917916,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  04:00:00,01/01 04:00:00,-1.8,15.600000000000072,-3.515904223619671,15.600000013638404,15.599999999999998,15.599999999999998,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  05:00:00,01/01 05:00:00,-2.4,15.599999999999998,-4.277508173098829,15.600000000027864,15.6,15.599999999999998,15.599999999999998,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  06:00:00,01/01 06:00:00,-3.0,15.6,-4.990243781150395,15.600000000000072,15.599999999999998,15.599999999999998,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  07:00:00,01/01 07:00:00,-2.8,15.599999999999996,-5.242449904547837,15.6,15.6,15.6,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  08:00:00,01/01 08:00:00,-3.1,15.6,-5.505863527461892,15.599999999999998,15.6,15.6,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  09:00:00,01/01 09:00:00,-3.3,15.6,-4.781538286526237,15.599999999999998,15.6,15.599999999999998,15.599999999999998,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  10:00:00,01/01 10:00:00,-1.3,15.599999999999996,-1.52683836908993,15.92857105701054,15.697689548621415,15.599999999999996,15.599999999999996,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
