,T_b,T_b_f_in,T_b_f_out,T_tank_w,COP,g_conv,Q_b_unit,Q_ref_cond,Q_ref_evap,Q_env_loss,Q_use_loss,total_loss,Q_ref,is_on,E_cmp,E_pmp,Xc_g,Xg,Xb,X_ref_tank,dV_w_serv,dV_w_sup_tank,dV_w_sup_mix
0,289.15,289.15,289.15,60.0,0.0,0.0,0.0,0.0,0.0,27.056372898583476,0.0,27.056372898583476,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,289.15,289.15,289.15,59.99228471902362,0.0,0.0,0.0,0.0,0.0,27.052893773264906,0.0,27.052893773264906,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,289.15,289.15,289.15,59.984570430139925,0.0,0.0,0.0,0.0,0.0,27.04941509532016,0.0,27.04941509532016,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,289.15,289.15,289.15,59.97685713322133,0.0,0.0,0.0,0.0,0.0,27.04593686469171,0.0,27.04593686469171,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,289.15,289.15,289.15,59.96914482814029,0.0,0.0,0.0,0.0,0.0,27.04245908132204,0.0,27.04245908132204,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,289.15,289.15,289.15,59.961433514769254,0.0,0.0,0.0,0.0,0.0,27.03898174515363,0.0,27.03898174515363,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,289.15,289.15,289.15,59.95372319298071,0.0,0.0,0.0,0.0,0.0,27.03550485612898,0.0,27.03550485612898,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,289.15,289.15,289.15,59.94601386264715,0.0,0.0,0.0,0.0,0.0,27.032028414190595,0.0,27.032028414190595,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,289.15,289.15,289.15,59.938305523641084,0.0,0.0,0.0,0.0,0.0,27.02855241928098,0.0,27.02855241928098,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,289.15,289.15,289.15,59.93059817583504,0.0,0.0,0.0,0.0,0.0,27.025076871342655,0.0,27.025076871342655,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,289.15,289.15,289.15,59.92289181910156,0.0,0.0,0.0,0.0,0.0,27.02160177031815,0.0,27.02160177031815,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,289.15,289.15,289.15,59.915186453313204,0.0,0.0,0.0,0.0,0.0,27.018127116149987,0.0,27.018127116149987,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,289.15,289.15,289.15,59.907482078342554,0.0,0.0,0.0,0.0,0.0,27.014652908780715,0.0,27.014652908780715,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,289.15,289.15,289.15,59.89977869406219,0.0,0.0,0.0,0.0,0.0,27.01117914815287,0.0,27.01117914815287,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,289.15,289.15,289.15,59.89207630034473,0.0,0.0,0.0,0.0,0.0,27.007705834209016,0.0,27.007705834209016,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
