is_on,converged,T_air_ou_in [°C],T_air_ou_out [°C],T1 [°C],T2 [°C],T3 [°C],T4 [°C],T_cond [°C],T_tank_w [°C],T_sup_w [°C],T_serv_w [°C],T0 [°C],dV_fan_ou [m3/s],dV_w_serv [m3/s],dV_w_sup_tank [m3/s],dV_w_sup_mix [m3/s],P1 [Pa],P2 [Pa],P3 [Pa],P4 [Pa],m_dot_ref [kg/s],cmp_rpm [rpm],h1 [J/kg],h2 [J/kg],h3 [J/kg],h4 [J/kg],s1 [J/(kg·K)],s2 [J/(kg·K)],s3 [J/(kg·K)],s4 [J/(kg·K)],x1 [J/kg],x2 [J/kg],x3 [J/kg],x4 [J/kg],E_fan_ou [W],X_a_ou_in [W],X_a_ou_out [W],Q_ref_evap [W],Q_LMTD_evap [W],Xc_evap [W],X1 [W],X2 [W],X3 [W],X4 [W],E_cmp [W],X_cmp [W],Xc_cmp [W],Q_cond_load [W],Q_ref_cond [W],Q_LMTD_cond [W],X_ref_cond [W],Xc_ref_cond [W],Xc_exp [W],X_tank_sup_w [W],X_tank_w [W],Xc_tank [W],X_mix_sup_w [W],X_mix_serv_w [W],Xc_mix [W],Xc_tot [W],E_tot [W],X_fan_ou [W],X_flow_X1_to_X2 [W],X_flow_X2_to_X3 [W],X_flow_X3_to_X4 [W],X_flow_X4_to_X1 [W],X_tot [W],fan_eff [-],cop [-],X_eff [-],is_transitioning
False,True,0.0,0.0,,,,,0.0,60.0,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.994109407637836,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.98821950925719,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.98233030477638,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.97644179411361,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.970553977187194,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.96466685391533,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.95878042421634,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.95289468800854,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
False,True,0.0,0.0,,,,,0.0,59.94700964521019,15.0,40.0,10.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
