Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/01  01:00:00,2.891666666666667,-0.8989440527801218,15.049136694407165,14.48164499635224,13.97726905963705,13.985485280621093,13.804876417753944,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  02:00:00,1.4333333333333333,-1.4597733263943031,14.943803734639822,14.307039806566792,13.826186261108466,13.853630947259099,13.663353526024485,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  03:00:00,-0.27499999999999997,-2.4339591663955207,14.789596318415649,14.087268196288669,13.630373520244353,13.679718940853334,13.472914698726798,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  04:00:00,-1.425,-3.397597410716076,14.657786380228545,13.893032557108109,13.459302628828352,13.531225133939758,13.307954967766086,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  05:00:00,-2.15,-4.26704715316437,14.551831822625386,13.735746735367897,13.319676697986354,13.41045207523114,13.173780696251418,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  06:00:00,-2.75,-5.011509684776479,14.45591051316876,13.593555980879694,13.192728571048356,13.300805641251829,13.05194208910851,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  07:00:00,-2.8833333333333333,-5.525649841471593,14.387821928686428,13.490741594844286,13.102546720049276,13.224652006910452,12.966173089738499,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  08:00:00,-2.975,-5.6513608889768845,14.336113731913182,13.425192823906348,13.050931437486135,13.173521455150725,12.907052504351988,5527200.0,0.0,5940057.91392,990009.6523200001,12457267.566240001,0.0,0.0 
 01/01  09:00:00,-3.216666666666667,-4.968261012368081,14.281333304389584,13.490618307540805,13.131501708297106,13.166039557825021,12.89633370503981,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  10:00:00,-2.1333333333333333,-2.420941314687568,14.331939488287404,14.048308360061739,13.607500476966939,13.311575051727152,13.059856682410482,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  11:00:00,-0.13333333333333341,2.717857504370699,14.50645546144,14.937779652960145,14.12900133447007,13.581721888479036,13.381886664598504,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
