Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) 
 01/01  01:00:00,2.6,-0.8214069847958335,15.600006691027382,15.834473792092133,15.599999999999998,15.6,15.6,0.0,0.0,131714.0210071684,0.0,0.0,0.0,253339.29453341986,0.0,510557.2046408873,5.1159076974727213e-11,426517.63791069057,0.0,0.0,1322128.158092166 
 01/01  02:00:00,0.6,-1.7295341482235886,15.600000007452907,15.708695435400898,15.599999999999998,15.6,15.600000000000001,0.0,0.0,619010.3724709216,7.673861546209082e-11,0.0,0.0,397067.407641239,1.0231815394945443e-10,708725.3323865676,0.0,563461.4385643948,0.0,0.0,2288264.551063123 
 01/01  03:00:00,-0.9,-2.641465283680499,15.60000000002062,15.600011549179161,15.599999999999998,15.599999999999998,15.599999999999998,0.0,0.0,1013520.4001953119,6.821210263296962e-11,68711.48209326784,0.0,534124.1216990908,3.410605131648481e-11,882613.7093295684,0.0,697196.7117140364,6.821210263296962e-11,0.0,3196166.425031275 
 01/01  04:00:00,-1.8,-3.515904223619671,15.600000000000072,15.600000013638404,15.599999999999998,15.599999999999998,15.600000000000001,0.0,0.0,1270340.0791092087,0.0,317762.66786789417,3.410605131648481e-11,635221.3691855752,6.821210263296962e-11,1010272.5701780117,2.0463630789890885e-10,793951.7686080891,1.0231815394945443e-10,0.0,4027548.4549487787 
 01/01  05:00:00,-2.4,-4.277508173098829,15.599999999999998,15.600000000027865,15.600000000000001,15.599999999999998,15.599999999999998,0.0,0.0,1457138.1640210582,0.0,517101.001321042,3.410605131648481e-11,722329.3085340715,6.821210263296962e-11,1119255.6843018446,2.0463630789890885e-10,874869.3669451745,1.3642420526593924e-10,0.0,4690693.52512319 
 01/01  06:00:00,-3.0,-4.990243781150395,15.600000000000001,15.600000000000072,15.599999999999998,15.599999999999998,15.600000000000001,0.0,0.0,1642702.423066841,6.821210263296962e-11,707313.7367169126,1.0231815394945443e-10,806223.2193558181,6.821210263296962e-11,1225847.686524266,1.3642420526593924e-10,953094.6049975811,2.0463630789890885e-10,0.0,5335181.670661418 
 01/01  07:00:00,-2.8,-5.242449904547837,15.599999999999996,15.6,15.600000000000001,15.600000000000001,15.6,0.0,0.0,1630465.9303170803,0.0,793255.4162343738,0.0,833923.1478054619,2.0463630789890885e-10,1250525.8522139979,0.0,975451.9865083133,0.0,0.0,5483622.333079227 
 01/01  08:00:00,-3.1,-5.505863527461892,15.6,15.599999999999998,15.6,15.6,15.6,0.0,0.0,1733015.5088103837,0.0,916388.12928888,0.0,885093.3514112167,0.0,1312631.7641476868,0.0,1021833.3893906227,0.0,0.0,5868962.143048789 
 01/01  09:00:00,-3.3,-4.781538286526237,15.600000000000001,15.599999999999998,15.600000000000001,15.599999999999998,15.599999999999998,0.0,0.0,1798742.9482762152,6.821210263296962e-11,758856.1524944563,1.3642420526593924e-10,752066.3284519345,0.0,1220076.0870398036,0.0,962948.3197910697,2.0463630789890885e-10,0.0,5492689.836053479 
 01/01  10:00:00,-1.3,-1.5268383690899299,15.599999999999996,15.92857105701054,15.697689548621415,15.599999999999996,15.599999999999996,0.0,0.0,1262957.9067269883,1.2593003563009777e-10,0.0,0.0,0.0,0.0,744097.790227979,1.1018878117633554e-10,624851.1293982015,7.870627226881111e-12,0.0,2631906.8263531686 
